id,name,category,company,price,description
1,Fluconazole 222,Antihistamine,WellnessPlus,411.57,Fluconazole 222 is used for antihistamine.
2,Atorvastatin 381,Anti-inflammatory,Glucure,276.58,Atorvastatin 381 is used for anti-inflammatory.
3,Atorvastatin 642,Analgesic,LipiCare,454.4,Atorvastatin 642 is used for analgesic.
4,Metformin 327,Analgesic,Glucure,440.87,Metformin 327 is used for analgesic.
5,Diclofenac 209,Antifungal,HealthCorp,216.4,Diclofenac 209 is used for antifungal.
6,Diclofenac 995,Antifungal,CureLabs,371.62,Diclofenac 995 is used for antifungal.
7,Paracetamol 109,Antihistamine,BreathWell,352.41,Paracetamol 109 is used for antihistamine.
8,Azithromycin 574,Antacid,AllergyFree,208.65,Azithromycin 574 is used for antacid.
9,Loratadine 485,Antacid,WellnessPlus,227.85,Loratadine 485 is used for antacid.
10,Atorvastatin 172,Diabetes,AllergyFree,269.51,Atorvastatin 172 is used for diabetes.
11,Diclofenac 552,Cholesterol,MedPharma,132.13,Diclofenac 552 is used for cholesterol.
12,Paracetamol 731,Antihistamine,LipiCare,108.97,Paracetamol 731 is used for antihistamine.
13,Clindamycin 774,Anti-inflammatory,BreathWell,406.41,Clindamycin 774 is used for anti-inflammatory.
14,Levocetirizine 679,Antifungal,LipiCare,291.41,Levocetirizine 679 is used for antifungal.
15,Omeprazole 569,Antibiotic,HealthCorp,102.77,Omeprazole 569 is used for antibiotic.
16,Salbutamol 357,Antibiotic,WellnessPlus,73.35,Salbutamol 357 is used for antibiotic.
17,Loratadine 404,Antacid,CureLabs,210.05,Loratadine 404 is used for antacid.
18,Cetirizine 100,Bronchodilator,Glucure,125.46,Cetirizine 100 is used for bronchodilator.
19,Levocetirizine 208,Antihistamine,Glucure,398.5,Levocetirizine 208 is used for antihistamine.
20,Diclofenac 169,Bronchodilator,HealthCorp,269.35,Diclofenac 169 is used for bronchodilator.
21,Loratadine 420,Antihistamine,LipiCare,67.19,Loratadine 420 is used for antihistamine.
22,Ibuprofen 780,Anti-inflammatory,HealthCorp,263.97,Ibuprofen 780 is used for anti-inflammatory.
23,Loratadine 252,Analgesic,LipiCare,265.21,Loratadine 252 is used for analgesic.
24,Ranitidine 509,Bronchodilator,HealthCorp,115.95,Ranitidine 509 is used for bronchodilator.
25,Diclofenac 169,Diabetes,AllergyFree,110.62,Diclofenac 169 is used for diabetes.
26,Atorvastatin 309,Cholesterol,MedLife,384.33,Atorvastatin 309 is used for cholesterol.
27,Ranitidine 357,Analgesic,ProHealth,190.81,Ranitidine 357 is used for analgesic.
28,Levocetirizine 356,Diabetes,LipiCare,346.7,Levocetirizine 356 is used for diabetes.
29,Omeprazole 620,Antibiotic,WellnessPlus,297.4,Omeprazole 620 is used for antibiotic.
30,Ibuprofen 607,Antacid,ProHealth,484.58,Ibuprofen 607 is used for antacid.
31,Paracetamol 529,Diabetes,MedLife,108.71,Paracetamol 529 is used for diabetes.
32,Omeprazole 355,Antibiotic,BreathWell,118.14,Omeprazole 355 is used for antibiotic.
33,Paracetamol 100,Antifungal,AllergyFree,406.79,Paracetamol 100 is used for antifungal.
34,Paracetamol 120,Diabetes,CureLabs,59.58,Paracetamol 120 is used for diabetes.
35,Omeprazole 527,Antibiotic,WellnessPlus,482.63,Omeprazole 527 is used for antibiotic.
36,Levocetirizine 141,Bronchodilator,HealthCorp,179.9,Levocetirizine 141 is used for bronchodilator.
37,Levocetirizine 488,Diabetes,CureLabs,183.83,Levocetirizine 488 is used for diabetes.
38,Levocetirizine 985,Cholesterol,HealthCorp,66.55,Levocetirizine 985 is used for cholesterol.
39,Loratadine 815,Antibiotic,MedLife,32.41,Loratadine 815 is used for antibiotic.
40,Omeprazole 182,Antihistamine,BreathWell,322.17,Omeprazole 182 is used for antihistamine.
41,Ranitidine 885,Antihistamine,LipiCare,396.52,Ranitidine 885 is used for antihistamine.
42,Diclofenac 540,Diabetes,AllergyFree,402.43,Diclofenac 540 is used for diabetes.
43,Ranitidine 821,Anti-inflammatory,AllergyFree,262.71,Ranitidine 821 is used for anti-inflammatory.
44,Levocetirizine 410,Analgesic,WellnessPlus,160.28,Levocetirizine 410 is used for analgesic.
45,Salbutamol 626,Anti-inflammatory,MedLife,274.35,Salbutamol 626 is used for anti-inflammatory.
46,Paracetamol 382,Cholesterol,ProHealth,399.43,Paracetamol 382 is used for cholesterol.
47,Ibuprofen 873,Antacid,ProHealth,318.63,Ibuprofen 873 is used for antacid.
48,Amoxicillin 179,Antifungal,MedPharma,20.84,Amoxicillin 179 is used for antifungal.
49,Fluconazole 533,Antifungal,CureLabs,359.1,Fluconazole 533 is used for antifungal.
50,Omeprazole 575,Antihistamine,WellnessPlus,187.19,Omeprazole 575 is used for antihistamine.
51,Amoxicillin 535,Bronchodilator,HealthCorp,247.89,Amoxicillin 535 is used for bronchodilator.
52,Azithromycin 485,Cholesterol,CureLabs,253.74,Azithromycin 485 is used for cholesterol.
53,Salbutamol 998,Antacid,WellnessPlus,289.59,Salbutamol 998 is used for antacid.
54,Diclofenac 516,Diabetes,LipiCare,127.32,Diclofenac 516 is used for diabetes.
55,Azithromycin 185,Cholesterol,ProHealth,305.25,Azithromycin 185 is used for cholesterol.
56,Loratadine 408,Diabetes,CureLabs,199.35,Loratadine 408 is used for diabetes.
57,Loratadine 852,Analgesic,AllergyFree,289.05,Loratadine 852 is used for analgesic.
58,Levocetirizine 219,Anti-inflammatory,BreathWell,176.87,Levocetirizine 219 is used for anti-inflammatory.
59,Clindamycin 125,Antihistamine,BreathWell,88.67,Clindamycin 125 is used for antihistamine.
60,Metformin 948,Antifungal,MedPharma,429.4,Metformin 948 is used for antifungal.
61,Levocetirizine 528,Antacid,CureLabs,339.93,Levocetirizine 528 is used for antacid.
62,Paracetamol 346,Analgesic,MedPharma,164.43,Paracetamol 346 is used for analgesic.
63,Paracetamol 358,Bronchodilator,ProHealth,172.16,Paracetamol 358 is used for bronchodilator.
64,Levocetirizine 946,Antacid,CureLabs,303.62,Levocetirizine 946 is used for antacid.
65,Atorvastatin 886,Antacid,CureLabs,132.32,Atorvastatin 886 is used for antacid.
66,Loratadine 671,Anti-inflammatory,Glucure,193.9,Loratadine 671 is used for anti-inflammatory.
67,Levocetirizine 599,Diabetes,Glucure,135.52,Levocetirizine 599 is used for diabetes.
68,Salbutamol 710,Cholesterol,MedLife,79.5,Salbutamol 710 is used for cholesterol.
69,Levocetirizine 755,Antifungal,BreathWell,141.88,Levocetirizine 755 is used for antifungal.
70,Ibuprofen 221,Diabetes,Glucure,68.48,Ibuprofen 221 is used for diabetes.
71,Fluconazole 143,Antifungal,LipiCare,228.31,Fluconazole 143 is used for antifungal.
72,Amoxicillin 520,Diabetes,BreathWell,58.37,Amoxicillin 520 is used for diabetes.
73,Atorvastatin 542,Antibiotic,BreathWell,333.42,Atorvastatin 542 is used for antibiotic.
74,Ibuprofen 319,Antifungal,WellnessPlus,423.23,Ibuprofen 319 is used for antifungal.
